RUN,Run,,Total,Trigger,TARGET,BEAM,,,TRIGGER,FADC,,,CLUSTER,Cluster,,,ECAL Scalers,,NOTES,
Number,Start,End,Events,Rate,,Current,X,Y,CONFIG,Mode,Thresh,Window,Threshold (MeV),Cluster,Window (ns),Pair,FADC,DSC,,
,,,,(kHz),,(nA),(mm),(mm),,,(ADC),(ns),Seed,Cluster,Hits,Pairs,,,,
3206,12/12/14 03:30 PM,12/12/2014 05.05 PM ,4.7M,,1.5 um Pt,10,1.4,0.9,Singles + 100 Hz Pulser,7,50,,50,200,+/- 12,+/- 4,,,,
3207,12/12/2014 05.18 PM,12/12/2014 05.52 PM,6.4M,,1.5 um Pt,10,1,0.1,Loosest 2 cluster trigger,7,50,,50,1,+/- 12,+/- 16,,,,
3209,12/12/2014 06.01 PM,12/12/2014 06.04 PM,,,1.5 um Pt,10,1.1,0.1,Loosest 2 cluster trigger,7,50,,50,1,+/- 12,+/- 16,,,NEW GAINS,
3215,12/12/2014 7.22 PM,,,80,1.5 um Pt,9.8,0.9,,High performance run with TDCs,7,50,,50,1,+/- 12,+/- 16,,,,
3216,12/12/14,,,100,1.5 um Pt,10,,,High performance run NO TDCs,7,50,,50,1,+/- 12,+/- 16,,,,
3219,12/12/2014 7.38 PM,12/12/2014 07.49 PM ,2.0M,3.5,1.5 um Pt,10,1.9,0.9, Loose pairs + 10 Hz pulser,7,50,,50,1,+/- 12,+/- 16,,,,
3220,12/12/2014 7.58 PM,12/12/2014 09.51 PM,27.8M,4.3,1.5 um Pt,10,2,1,Loose pairs +1kHz Pulser,7,50,,50,1,+/- 12,+/- 16,,,,
3221,12/12/2014 09.57 PM,12/12/2014 09.57 PM,28.9 M,4.3,1.5 um Pt,10,1.3,0.3,Loose Pairs +1kHz Pulser,7,50,,50,1,+/- 12,+/- 16,,,,
3222,12/13/2014 00.03 AM,12/13/2014 02.03 AM,28.9 M,4.3,1.5 um Pt,10,1.21,0.41,Loose Pairs +1kHz Pulser,7,50,,50,1,+/- 12,+/- 16,360 kHz,138 kHz,,
3223,12/13/2014 02.06 AM,12/13/2014 04.10 AM,29 M,4.4,1.5 um Pt,10,1.5,0.8,Loose Pairs +1kHz Pulser,7,50,,50,1,+/- 12,+/- 16,390 kHz,150 kHz,,
3224,12/13/2014 04.14 AM,12/12/2014 04.34 AM ,2.8 M,,1.5 um Pt,10,,,Loose Pairs +1kHz Pulser,7,50,,50,1,+/- 12,+/- 16,,,beam trips,
3225,12/13/2014 04.41 AM,12/13/2014 05.08 AM ,2.6 M,,1.5 um Pt,10,1.2,0.4,Loose Pairs +1kHz Pulser,7,50,,50,1,+/- 12,+/- 16,,,beam trips,
3226,12/13/2014 05.11 AM,12/13/2014 05.51 AM,7.9M,3.3,1.5 um Pt,10,1,0.17,Loose Pairs +1kHz Pulser,7,50,,50,1,+/- 12,+/- 16,,,,
3227,12/13/2014 06.01 AM,12/13/2014 08.02 AM,27 M,3.7,1.5 um Pt,10,1.1,0.2,Loose Pairs +1kHz Pulser,7,50,,50,1,+/- 12,+/- 16,355 kHz,144 kHz,,
3228,12/13/2014 08.06 AM,12/13/2014 10.06 AM,25.4 M,3.5,1.5 um Pt,10,1.1,0.2,Loose Pairs +1kHz Pulser,7,50,,50,1,+/- 12,+/- 16,378 kHz,143 kHz,,
3229,12/13/2014 10.07 AM,12/13/2014 12.10 PM,24.2 M,3.3,1.5 um Pt,8.6,1,0.2,Loose Pairs +1kHz Pulser,7,50,,50,1,+/- 12,+/- 16,302 kHz,119 kHz,,
3230,12/13/2014 12.15 PM,12/13/2014 2.04 PM,20.9 M,3.2,1.5 um Pt,5.3,1.05,0.25,Loose Pairs +1kHz Pulser,7,50,,50,1,+/- 12,+/- 16,157 kHz,56 kHz,,
3231,12/13/2014 2.05 PM,12/13/2014 03.58 PM,25 M,3.6,1.5 um Pt,14,0.24,-0.5,Loose Pairs +1kHz Pulser,7,50,,50,1,+/- 12,+/- 16,516 kHz,210 kHz,,
3232,12/13/2014 04.00 PM,12/13/2014 04.11 PM,2.2M,3.7,1.5 um Pt,7,0.8,3.6,Loose Pairs +1kHz Pulser,7,50,,50,1,+/- 12,+/- 16,301 kHz,117 kHz,,
3234,12/13/2014 04.41 PM,12/13/2014 6.49 PM,27 M,3.7,1.5 um Pt,8.5,1.1,0.3,Loose Pairs +1kHz Pulser,3,50,,50,1,+/- 12,+/- 16,240 kHz,94 kHz,,
3235,12/13/2014 06.52 PM,12/13/2014 07.05 PM,2.9 M,3.9,1.5 um Pt,8.4,0.9,0.1,Loose Pairs +1kHz Pulser,3,50,,50,1,+/- 12,+/- 16,294 kHz,113 kHz,,
3237,12/13/2014 07.54 PM,12/13/2014 08.55 PM,14 M,4.3,1.5 um Pt,9.1,0.9,0.1,Loose Pairs +1kHz Pulser,3,50,,50,1,+/- 16,+/- 16,339 kHz,136 kHz,,
